,User,Text,Date,Favorites,Retweets,Mentions,Hashtags
27,PSSE_Garwolin,"#Koronawirus Apel @GIS_gov i @NaczelnaL do całego środowiska medycznego o przekazywanie wiarygodnych informacji, opartych na aktualnej wiedzy zgodnej ze stanowiskiem Ministerstwa Zdrowia i Głównego Inspektora Sanitarnego",2020-01-30 22:49:22+00:00,2,3,@GIS_gov @NaczelnaL,#Koronawirus
28,JarekKociszewsk,Jak koronawirus się rozchodzi i jak się chronić? Mycie rąk i zasłanianie ust przy kichaniu czy kasłaniu pomaga. Prosta higiena ma sens... ,2020-01-30 22:48:57+00:00,7,12,,
29,Jacpoludek,Nowe dane z prowincji #Hubei ze stolicą w #Wuhan ... #coronavirus #koronawirus ... Ci co zmarli i Ci co wyzdrowieli. ,2020-01-30 22:45:47+00:00,3,3,,#Hubei #Wuhan #coronavirus #koronawirus
30,malowaznygosc,"30.01.2020 9171 zarażonych, 213 zmarło #coronavirus #wuhan #koronawirus #CoronaOutbreak #realtime https://wuhanviruslive.com/",2020-01-30 22:43:50+00:00,0,0,,#coronavirus #wuhan #koronawirus #CoronaOutbreak #realtime
31,patrycja_ley,"Allegrowe maseczki z tytułem ""koronawirus"" to tylko bait i nie mają zwykle nic wspólnego z maseczkami antywirusowymi. ❗️❗️AALEE... W Polsce na razie nie ma potwierdzonych przypadków koronawirusa, więc nie należy siać paniki. Nie ma potrzeby nosić full on masek antywirusowych.",2020-01-30 22:42:19+00:00,1,2,,
32,seb_pisarski,"Polska jest gotowa na #koronawirus Plan jest taki, jak epidemia zawędruje do nas, Duda zgłosi Przekupce z TK wniosek o zbadanie sporu kompetencyjnego w kwesti tego, kto jest większym zagrożeniem dla kraju: Jarek i jego bezmyślni słudzy czy grypopodobny wirus. I po sprawie. ",2020-01-30 22:42:08+00:00,2,8,,#koronawirus
33,MenedzerZdrowia,"- Koronawirus 2019-nCoV jest zagrożeniem dla zdrowia publicznego na całym świecie, ma potencjał pandemiczny - poinformował w czwartek wieczorem Tedros Adhanom Ghebreyesus, dyrektor generalny @WHO. Ogłoszono #PHEIC: https://tiny.pl/tskwn #koronowirus",2020-01-30 22:42:07+00:00,1,2,@WHO,#PHEIC #koronowirus
34,Joanna_D_a_r_c,Koronawirus zarazi gospodarkę ,2020-01-30 22:41:53+00:00,0,3,,
35,kuba1kuba,Korona królów - koronawirus. Przypadek? Nie sądzę.,2020-01-30 22:39:34+00:00,0,1,,
36,Jacpoludek,"Kolejny dzien z #coronavirus #koronawirus i kolejny ""rekord"". Zmarły kolejne 42 osoby. ",2020-01-30 22:36:58+00:00,1,1,,#coronavirus #koronawirus
37,PSSE_Garwolin,WHO ogłasza stan zagrożenia zdrowia publicznego o znaczeniu międzynarodowym (PHEIC) @GIS_gov #Koronawirus #2019nCoV 📢,2020-01-30 22:33:06+00:00,1,1,@GIS_gov,#Koronawirus #2019nCoV
38,Luiza93902397,"Myślę, że minister może nie doceniać skali zagrożenia i zachorowań. Koronawirus doprowadza w krótkim czasie do niewydolności oddechowej,która występuje też ale jako powikłanie grypy. Poza tym część naszego społeczeństwa jest chroniona szczepieniami p/grypie.",2020-01-30 22:26:34+00:00,0,1,,
39,MSNPolska,Koronawirus. Światowa Organizacja Zdrowia ogłasza stan zagrożenia zdrowia publicznego #msnpl,2020-01-30 22:25:19+00:00,0,0,,#msnpl
40,UkaszakU,"Koronawirus przenosi się drogą kropelkową, czyli podczas kaszlu i kichania oraz drogą kontaktową, czyli przez dotyk, samo mycie rąk nie pomoże. Zresztą WHO stwierdziło chwile temu, że jest to zagrożenie na skale światową. (2/2)",2020-01-30 22:24:31+00:00,0,0,,
41,farmerjanek,Pilne! Koronawirus z Wuhan. WHO ogłasza stan światowego zagrożenia | http://Tysol.pl,2020-01-30 22:24:02+00:00,1,1,,
42,Adri90r,"Media oczywiście robią wielki szum w okół #koronawirus. Codziennie czytam ze w Łodzi, Wrocławiu czy nawet moim mieście ktoś jest zakażony. To jak się okazuje jest niepotwierdzone info a jedyne do czego może doprowadzic to zbiorowa panika. Prawda jest że mamy sezon grypowy..",2020-01-30 22:22:31+00:00,0,0,,#koronawirus
43,LewitujacyUmysl,"Wilbur Ross, sekretarz stanu USA z namaszecznia Trumpa stwierdził właśnie, że(cytuję): koronawirus będzie dobry dla Amerykanów, bo przyspieszy powrót miejsc pracy do Stanów Zjednoczonych z Azji. Prawica na całym świecie taka sama.",2020-01-30 22:21:23+00:00,1,58,,
44,chmiielewski,"Jutro w @przeglad duży redakcyjny raport „koronawirus a sport” (dość mocne dwie strony), a w sekcji #skijumping m. in. opowieść japońskich dziennikarzy, dlaczego Ryoyu - choć jest takim kozakiem - w ojczyźnie jest tylko jakimś tam skoczkiem. Zapraszamy ☺️",2020-01-30 22:19:41+00:00,2,15,@przeglad,#skijumping
