,User,Text,Date,Favorites,Retweets,Mentions,Hashtags
711,szlachciura,Koronawirus może doprowadzić Chiny do klęski gospodarczej. #Jedziemy,2020-01-30 07:08:30+00:00,0,0,,#Jedziemy
712,szlachciura,Czy ten koronawirus nie został wyhodowany przez Chiny i nie dał dyla. #Jedziemy,2020-01-30 07:07:46+00:00,0,0,,#Jedziemy
713,Dan_Kostecki,"Tesla widzi opóźnienia w zamówieniach z Chin, Mcd, Apple i H&M zamykają swoje sklepy. #koronawirus",2020-01-30 07:05:26+00:00,0,0,,#koronawirus
714,1danw1,[TYLKO U NAS] Koronawirus go nienawidzi. Zobacz jak!,2020-01-30 07:01:17+00:00,0,0,,
715,RPPrawo,"#NIK zbada, czy Polska jest przygotowana na wystąpienie chorób szczególnie niebezpiecznych. Zarażenie chińskim #koronawirus-em nie oznacza obowiązkowej hospitalizacji. #zdrowie #pacjent #PrawaPacjenta",2020-01-30 07:00:00+00:00,0,0,,#NIK #koronawirus #zdrowie #pacjent #PrawaPacjenta
716,Spychacz2,"I jeszcze ten koronawirus,whiskas podrożał,powiem Morawieckiemu by po raz pierwszy podniósł podatek Polakom...... ",2020-01-30 06:58:15+00:00,0,2,,
717,krzysztofmatus2,"Ale inicjatywa TK,stanowi idealny temat zastępczy,żeby nie rozmawiać o czym innym. Na przykład o deficycie testów na #koronavirus .",2020-01-30 06:55:30+00:00,0,0,,#koronavirus
718,RomualdMyga,Piasecki koronawirus się roznosi jest już w Europie będzie w parlamencie Unii Europejskiej bo oni lubią podróżować. Codzienny speech rozpoczynaj od co tam na froncie walki z koronawirusem @tvn24 @PolsatNewsPL #wieszwiecej,2020-01-30 06:55:10+00:00,0,0,@tvn24 @PolsatNewsPL,#wieszwiecej
719,co_oni_biora,"Minister zdrowia mówi, ze jesteśmy gotowi na #koronavirus Ciekawe czy wie, ze studenci, którzy wrócili do Rzeszowa z Chin rozjechali się do domów.....",2020-01-30 06:55:03+00:00,0,1,,#koronavirus
720,tvp_info,Nie odbędą się zaplanowane na 13–15 marca w chińskim Nankinie halowe mistrzostwa świata w lekkoatletyce #wieszwięcej #koronawirus ,2020-01-30 06:52:16+00:00,5,7,,#wieszwi #koronawirus
721,mamakatarzyna,Halowe Mistrzostwa Świata w Lekkoatletyce przełożone. Powodem koronawirus http://www.tvp.info/46424759/halowe-mistrzostwa-swiata-w-lekkoatletyce-przelozone-powodem-koronawirus #wieszwiecej,2020-01-30 06:51:44+00:00,0,0,,#wieszwiecej
722,RomualdMyga,Idzie koronawirus Jest już w Europie roznosi się w dużych skupiskach to może te sale na cholerę nam. Bardziej potrzebny będzie system elektroniczny i telefoni Huawei G5 bo tak się będą odbywały rozproszone sprawy sądowe. @MorawieckiM #wieszwiecej,2020-01-30 06:50:44+00:00,0,0,@MorawieckiM,#wieszwiecej
723,wgospodarce,Koronawirus zarazi gospodarkę ,2020-01-30 06:49:35+00:00,0,0,,
724,RomualdMyga,"Koronawirus przenosi się w skupiskach ludzkich jak porty lotnicze, zgromadzenia. Jest już w Europie należy sądzić że i zawita do Parlamentu UE bo posłowie lubią podróżować i problem sędziowski się skończy. Zatem hasło dnia co tam na froncie boju z nim #Jedziemy @tvn24",2020-01-30 06:44:01+00:00,0,2,@tvn24,#Jedziemy
725,Kenji060980,Koronawirus dotarł do Polski. Powyżej widzimy objawy.,2020-01-30 06:37:41+00:00,0,0,,
726,nietoperz_cz,#koronavirus #Lodz 07:32 - epidemia eskaluje. Łodzianie w panice. Muszę kupić fajki.,2020-01-30 06:32:57+00:00,0,0,,#koronavirus #Lodz
727,graniszewski,"Komitet kryzysowy WHO ma zdecydować, czy koronawirus stanowi zagrożenie na skalę międzynarodową - zapowiedział po powrocie z Pekinu dyrektor generalny WHO Tedros Adhanom Ghebreyesus. W skład komitetu wchodzi 16 niezależnych ekspertów. ",2020-01-30 06:32:02+00:00,0,2,,
728,rynekzdrowia,Polska gotowa na #koronawirus? Przeanalizowaliśmy sytuację ,2020-01-30 06:31:44+00:00,1,0,,#koronawirus
729,IreneuszSiwiec,Koronawirus jest podatny na działanie mydła https://wiadomosci.onet.pl/kraj/koronawirus-gis-koronawirus-jest-podatny-na-dzialanie-mydla/yf833yd przez @OnetWiadomosci,2020-01-30 06:30:03+00:00,0,2,@OnetWiadomosci,
730,damian_brzoza,"Wczoraj w Faktach TVN pierwszym tematem nie był już ""obrona kasty sędziowskiej"" lecz #koronawirus Czy to jakiś znak? #Jedziemy",2020-01-30 06:24:26+00:00,1,3,,#koronawirus #Jedziemy
731,Bummpy321,"Wszyscy panikujący powinni zobaczyć ile osób rocznie na świecie umiera TYLKO przez grypę. Ale przez rozdmuchanie tematu przez media 40% kraju sądzi, że już nie zyje przez koronawirus - hehehe",2020-01-30 06:21:50+00:00,0,1,,
732,tvn24,"[AKTUALIZACJA] Amerykańscy naukowcy na bieżąco aktualizują mapę, która pokazuje, gdzie dotarł koronawirus. ",2020-01-30 06:16:54+00:00,6,9,,
733,tvp_info,Bilans ofiar śmiertelnych nowego #koronawirus zwiększył się do 169 #wieszwięcej,2020-01-30 06:16:24+00:00,3,5,,#koronawirus #wieszwi
734,_fangel_,"1820 - epidemia 1920 - epidemia 2020 - koronawirus czy to ten moment kiedy ziemia zaczęła ""pozbywać się smieci""?",2020-01-30 06:12:53+00:00,0,1,,
735,Szymon_K_Nowak,#koronawirus zasady ochrona. ,2020-01-30 06:12:49+00:00,0,0,,#koronawirus
736,PanDareckiWawa,W CHINACH KOŃCZĄ SIĘ MASKI MEDYCZNE ALE POLAK ZAWSZE SOBIE PORADZI 😆🙃#wirus #koronavirus #Chiny #Polska,2020-01-30 06:10:16+00:00,1,2,,#wirus #koronavirus #Chiny #Polska
737,LechMucha,"Ja nie twierdzę, że koronawirus dokona spustoszeń na miarę dżumy, czy ospy, ale takie głupie gadanie skończy się w chwili gdy l ktoś z rodziny Łukasza wysoko zagorączkuje, czego oczywiście absolutnie nie życzę.... ",2020-01-30 06:09:56+00:00,2,36,,
738,Szymon_K_Nowak,informacje o #koronawirus ,2020-01-30 06:07:10+00:00,0,0,,#koronawirus
739,HansHawk,Mydłem!!! Dobijemy go mydłem!!! 😃 Koronawirus boi się mydła. Tak się przed nim ochronisz... ,2020-01-30 06:00:00+00:00,0,5,,
740,wgospodarce,"Koronawirus: Nowy, wstrząsający bilans ofiar ",2020-01-30 05:56:14+00:00,2,1,,
741,trenR,"Koronawirus, Korona królów. Byliśmy pierwsi!",2020-01-30 05:54:03+00:00,0,0,,
742,BetiiBeata,Dobra bo to już na swrio jest jakby groźne Koronawirus zabił już 170 osób a 7 tys jest już zarażonych i jakby to są okropne liczby,2020-01-30 05:51:59+00:00,0,2,,
743,Interia_Fakty,Koronawirus z #Wuhan. Chińskie władze podały najnowszy bilans ofiar #2019nCoV ​,2020-01-30 05:51:26+00:00,1,1,,#Wuhan #2019nCoV
744,rzeczpospolita,#Hongkong: Związki zawodowe chcą zamknięcia granicy z #Chiny. Grożą strajkiem #2019nCoV #koronawirus ,2020-01-30 05:49:01+00:00,0,1,,#Hongkong #Chiny #2019nCoV #koronawirus
745,WBC241,📌 KORONAWIRUS UPDATE NIE ŻYJE: 🇨🇳 Chiny 170 ZARAŻENI: 🇨🇳 Chiny 7736 🇺🇸 USA 5 🇫🇷 Francja 5 🇳🇵Nepal 1 🇯🇵 Japonia 7 🇸🇬 Singapur 10 🇰🇷 Korea Południowa 4 🇹🇼 Tajwan 8 🇹🇭 Tajlandia 14 🇻🇳 Wietnam 2 🇦🇺 Australia 7 🇲🇾 Malezja 7 🇰🇭 Kambodża 1 🇨🇦 Kanada 2 🇱🇰 Sri Lanka 1 🇩🇪 Niemcy 4,2020-01-30 05:46:10+00:00,109,526,,
746,NaszaMlawa,Koronawirus w Polsce? Jest podejrzenie https://naszamlawa.pl/wiadomosci/koronawirus-w-polsce-jest-podejrzenie/ #mława #naszamlawa,2020-01-30 05:43:04+00:00,0,0,,#m #naszamlawa
747,mrharoldlove,"koronawirus jest w moim mieście fajnie 😁 bardzo, dlaczego???",2020-01-30 05:42:09+00:00,0,0,,
748,adinfo24,"#wydarzenia Koronawirus W Chinach. Rząd 170 Osób Zmarło, 7711 Jest Zakażonych Chi... http://adinfo24.pl/swiat/1653984,koronawirus_w_chinach_rzad_170_osob_zmarlo_7711_jest_zakazonych.html",2020-01-30 05:40:05+00:00,0,0,,#wydarzenia
749,TelukTomasz,Koronawirus nie ma szans redaktorze!,2020-01-30 05:39:00+00:00,0,3,,
750,artur_ziraf,"#coronavirus #Wuhan #WuhanVirus #koronawirus #koronavirus 7783 zachorowania (świat), zmarli/wyleczeni 170/133 (Chiny) grafiki dzięki @Jacpoludek",2020-01-30 05:37:36+00:00,3,3,@Jacpoludek,#coronavirus #Wuhan #WuhanVirus #koronawirus #koronavirus
751,TomaszSajewicz,"Moja Kochana Mama. Zestaw na wzmocnienie : nalewka sosnowa, miód leśny i propolis. Wszystko z serca Puszczy Białowieskiej. Udało się wysłać przed zamknięciem połączeń lotniczych z Europą . #koronawirus #coronovirus #mama",2020-01-30 05:35:00+00:00,4,112,,#koronawirus #coronovirus #mama
752,tvp_info,Na czwartek zapowiedziano posiedzenie komitetu kryzysowego WHO #wieszwięcej #koronawirus ,2020-01-30 05:33:23+00:00,1,7,,#wieszwi #koronawirus
753,rzeczpospolita,🔴TYLKO U NAS. Epidemia #koronawirus.a: Prawo w czasie zarazy #nCoV_2019 http://www.rp.pl/Zdrowie/301299909-Koronawirus---prawa-pacjenta-podejrzanego-o-chorobe-zakazna.html,2020-01-30 05:33:01+00:00,0,0,,#koronawirus #nCoV_2019
754,sycylia6_,Dzień dobry. Już jest pierwsza ofiara #koronavirus.a w Polsce... #zięba 🤭 Tak mi przykro... 😂😂😂 #koronawirus ,2020-01-30 05:30:18+00:00,5,46,,#koronavirus #zi #koronawirus
755,rzeczpospolita,Epidemia #koronawirus.a rozpoczęła się od nietoperzy #2019nCoV,2020-01-30 05:30:09+00:00,0,1,,#koronawirus #2019nCoV
756,lexiss0226,Proszsz. ... lekarstwo na koronavirus. 🤓 ,2020-01-30 05:28:27+00:00,1,1,,
757,MagnoliaNowak,Dostawca żarcia pluje do obiadu klienta #koronavirus #Wuhan https://liveleak.com/view?t=kmOmn_1580281714,2020-01-30 05:23:07+00:00,0,0,,#koronavirus #Wuhan
758,grzegorzkrajski,Dzień czwarty #koronavirus ,2020-01-30 05:19:24+00:00,0,0,,#koronavirus
759,kwiatkowski_d,Koronawirus powoduje problemy z ortografią. ,2020-01-30 05:09:14+00:00,0,2,,
760,Cristero2017,Ostatnie dane z #koronavirus ,2020-01-30 04:56:18+00:00,0,0,,#koronavirus
761,melli_fluous,"To chyba przez brak snu bardziej, lub koronawirus ale obstawiam to 1 XD",2020-01-30 04:53:09+00:00,0,1,,
762,oldgeorginus,"Koronawirus w Japonii. Zachorowała osoba, która nigdy nie była w Wuhan http://www.tvp.info/46392625/koronawirus-w-japonii-zachorowala-osoba-ktora-nigdy-nie-byla-w-wuhan #wieszwiecej",2020-01-30 04:46:07+00:00,0,0,,#wieszwiecej
763,PolsatNewsPL,Koronawirus jest już w kilkunastu krajach. ,2020-01-30 04:45:59+00:00,0,1,,
764,TomaszSajewicz,"#koronawirus 7711 zarażonych, 170 zgonów, 124 osoby wyzdrowiały. Dzień dobry.",2020-01-30 04:44:42+00:00,5,15,,#koronawirus
765,grzegorzkrajski,Nie siej paniki. Wszystko jest pod kontrolą #koronavirus ,2020-01-30 04:37:42+00:00,0,0,,#koronavirus
766,KossowskiAndrze,Koronawirus z Wuhan rozprzestrzenia się. Trwają pracę nad szczepionką - Fakty TVN online https://fakty.tvn24.pl/1002733,2020-01-30 04:13:21+00:00,0,1,,
767,Azejjjj,"Tydzień temu została podjęta decyzja w Chinach (podobnie jak przy SARS) o błyskawicznej budowie szpitala tylko dla zarażonych #koronawirus. W Chinach kolejne miasta są zamykane, zamknięta też dla zwiedzających wiele zabytków jak Chiński Mur.",2020-01-30 03:51:24+00:00,0,0,,#koronawirus
768,rzeczpospolita,#Chiny: Start piłkarskiej ligi przełożony z powodu rozprzestrzeniania się #koronawirus.a #2019nCoV,2020-01-30 03:46:37+00:00,0,0,,#Chiny #koronawirus #2019nCoV
769,debiliada,ja: czuje ze mam stan podgorączkowy i żadnych innych objawów ja: no to na pewno nie jest koronawirus pffff ja: a wiec to rak,2020-01-30 03:41:29+00:00,0,15,,
770,Azejjjj,To nie pierwsze wykrycie #koronawirus ponieważ SARS też był z tej grupy. (Osoby nie pamiętające tej epidemii polecam się zapoznać wybuchła w Hongkongu). O ile wiem w Europie wykryto chorobę w Niemczech/Francji i ostatnio Finlandii.,2020-01-30 03:40:32+00:00,0,0,,#koronawirus
771,OsetJoe,Jerzy Zięba – czy Koronawirus zagraża Polakom? Czy świat jest gotowy na epidemię? ,2020-01-30 03:39:36+00:00,0,0,,
772,Azejjjj,"#koronawirus (2019-nCoV) został wykryty od zwierzęcia w 11mln miescie Wunhan (przypomnę Polska ma ok. 39mln mieszkańców) zmarło tam 30 os., A ludzie nakręcają panike, tak zarażają się kolejne kraje, ale wyleczono już ok 170 os. Naukowcy zapowiadaj pik zarażeń w najbliższym czasie",2020-01-30 03:37:32+00:00,0,0,,#koronawirus
773,RadioZET_NEWS,Chiński Związek Piłki Nożnej ze względu na epidemię #koronawirus.a z #Wuhan przełożył rozpoczęcie rozgrywek ligowych sezonu 2020/21.,2020-01-30 03:34:23+00:00,0,3,,#koronawirus #Wuhan
774,rzeczpospolita,"Najnowsze dane z #Chiny na temat #koronawirus.a z #Wuhan: 170 ofiar, 7711 chorych http://bit.ly/2S1sGtC",2020-01-30 03:34:06+00:00,5,7,,#Chiny #koronawirus #Wuhan
775,walewiadro6,"idz na przystanek autobusowy. zacznij kaszleć i dusić sie, a po chwili powiedz; „wiedzial*m ze jednak ta podróż do chin (wukan) to zły pomysl..... 𝓳𝓪𝓴𝓫𝔂 𝓬𝓸 𝓯𝓸𝓻 𝓯𝓾𝓷𝓷𝔂 #WuhanCoronavirus #nCoV #kpoperkidogazuparty #koronawirus #wuhan #virus",2020-01-30 03:02:42+00:00,0,5,,#WuhanCoronavirus #nCoV #kpoperkidogazuparty #koronawirus #wuhan #virus
776,adinfo24,"#kielce Koronawirus Z Chin. Szpital W Kielcach Wydał Specjalne Rozporządzenie Z uwa... http://adinfo24.pl/swietokrzyskie/141629,koronawirus_z_chin_szpital_w_kielcach_wydal_specjalne_rozporzadzenie.html",2020-01-30 02:40:29+00:00,0,0,,#kielce
777,LievenGEVAERT2,Koronawirus - Testy już są ,2020-01-30 02:31:07+00:00,0,0,,
778,Mario_Orb,"Medycyna to nie moja działka ale liczby już tak więc mam pewne obawy w kontekście ew. rozwoju #koronawirus w #RP jeśli profesor medycyny i jednocześnie szefowa Zakładu Badania Wirusów Grypy przy NFZ wskazuje, że na grypę i powikłania umiera 1-2% zarażonych https://bit.ly/2uMCcZK",2020-01-30 02:01:33+00:00,0,0,,#koronawirus #RP
779,beepbeepcecil,zaraz wyskoczą pranksterzy #koronawirus,2020-01-30 01:53:32+00:00,0,0,,#koronawirus
780,beepbeepcecil,wszyscy mówią o koronawirus icant teraz zaczęłam tak panikować że poszłam się umyć 3 raz #coronawirus #koronawirus,2020-01-30 01:46:52+00:00,0,1,,#coronawirus #koronawirus
781,zOstatniejChw,"Z OSTATNIEJ CHWILI: Koronawirus. Mieszkaniec Wuhan opowiada o księdzu #pedofilu. ""Prawda nas wyzwoli""",2020-01-30 01:35:05+00:00,0,0,,#pedofilu
782,OnetWiadomosci,"Koronawirus w Chinach. Rząd: 170 osób zmarło, 7711 jest zakażonych ",2020-01-30 01:32:14+00:00,1,1,,
783,carsboiii,Koronawirus? nah tyle już sie mówi że nudne Szarańcze? w Afryce usmażą i zjedzą Pająki? nic specjalnego Shrek 5. O KURWA SHREK 5 ,2020-01-30 01:31:37+00:00,2,6,,
784,Zolw__Pzn,"Koronawirus, bla bla bla. Ciekawym, o co chodzi. Ktoś ""schładza"" ChRL?",2020-01-30 01:29:22+00:00,0,8,,
785,TalajkowskiM,Lekkoatletyczne halowe mistrzostwa świata w Chinach przełożone. Powodem koronawirus ,2020-01-30 01:27:28+00:00,0,0,,
786,maajtusia,Koronawirus jest podatny na działanie mydła https://wiadomosci.onet.pl/kraj/koronawirus-gis-koronawirus-jest-podatny-na-dzialanie-mydla/yf833yd przez @OnetWiadomosci,2020-01-30 01:25:29+00:00,1,1,@OnetWiadomosci,
787,Niebieskiptasz2,Prawie 82 TYSIĄCE LUDZI pod obserwacją. #Szanghaj właśnie dołączył obok #Pekin i #Wenzhou do miast &gt;100 przypadków. Ma ktoś wtyki u #Putin i ogarnie #Triazavirin? 😏 #przygotujsie #koronawirus #chiny #epidemia,2020-01-30 01:23:47+00:00,1,0,,#Szanghaj #Pekin #Wenzhou #Putin #Triazavirin #przygotujsie #koronawirus #chiny #epidemia
788,RadioZET_NEWS,"3 Japończyków ewakuowanych z #Wuhan jest zakażonych #koronawirus.em - podało ministerstwo zdrowia w #Tokio. Wrócili do kraju samolotem, którym japońskie władze ewakuowały z Chin ponad 200 swoich obywateli.",2020-01-30 01:19:54+00:00,7,11,,#Wuhan #koronawirus #Tokio
789,malowaznygosc,"update 30.01.2020 7814 zarażonych, 170 zmarło #coronavirus #wuhan #koronawirus #CoronaOutbreak #realtime https://wuhanviruslive.com/",2020-01-30 00:43:20+00:00,0,0,,#coronavirus #wuhan #koronawirus #CoronaOutbreak #realtime
790,arisutokuratto,"Najbardziej absurdalne memy roku 2020 to: . . . . Wybaczcie, ale aż z nerwów się zaśmiałam. Żarty, żartami, jednak #koronawirus z #wuhan to temat poważny. Pamiętajcie o zasadach BHP, dbaniu o higienę, ostrożności na lotniskach i nie popadaniu w paranoję rzecz jasna.",2020-01-30 00:39:34+00:00,2,16,,#koronawirus #wuhan
791,zuzazarbuza,"Hue Hue, po lewej logo centrum biotechnologicznego z Szanghaju, po prawej logo korporacji, która stworzyła śmiercionośnego wirusa w kultowym ""The Resident Evil"" 🙃 #koronawirus ",2020-01-30 00:37:43+00:00,1,3,,#koronawirus
792,zkubik_yolo,co to jest ta koronawirus bo mi sie nie chce patrzec w neta,2020-01-30 00:35:01+00:00,0,0,,
793,Niebieskiptasz2,12 167 podejrzanych 7711 przypadków w Chinach. 1370 w stanie ciężkim/krytycznym 170 zgonów. 77 przypadków w 20 krajach #przygotujsie na #epidemia #koronawirus #wuhan #chiny,2020-01-30 00:27:20+00:00,2,2,,#przygotujsie #epidemia #koronawirus #wuhan #chiny
794,Drozdamian,"https://www.stefczyk.info/2020/01/26/szokujace-wiesci-z-chin-koronowirus-powstal-w-tamtejszym-laboratorium-wojskowym/?fbclid=IwAR0gy18FDLOB_3isZsVhPUMT8mAcyG9zvl93n-dbr7CdJpoWp_ulcw3K4hY Teraz należy się zastanowić, czy ludzi w Chinach jest po prostu za dużo, czy może ktoś z poza kraju miał w tym interes... Już były choroby, na które znaleziono lekarstwo dopiero kiedy przedostały się do USA #koronawirus #Chiny",2020-01-30 00:26:25+00:00,1,1,,#koronawirus #Chiny
795,KsiadzRobak_,"Liczba potwierdzonych przypadków #koronawirus wzrosła do 7711 w Chinach, w tym 170 zgonów. #Coronavirus",2020-01-30 00:24:21+00:00,0,0,,#koronawirus #Coronavirus
796,PR24_pl,#Chiny: wzrósł bilans ofiar śmiertelnych #koronawirus.a ,2020-01-30 00:14:35+00:00,1,2,,#Chiny #koronawirus
797,tobblach10,"""Obchody wyzwolenia Auschwitz""?Tu są zdjęcia AUTOKARU,KTÓRYM PODRÓŻOWALI ŻYDZI NA OBCHODY!Kierowca nie chce ujawnić nic więcej,BY GO NIE POSĄDZONO O ANYTYSEMITYZM!Cóż;koronawirus chyba..zaatakował nie tam,gdzie trzeba..😡😡😡A propos;dlaczego w Izraelu jeszcze NIKT NIE CHORUJE?😜 ",2020-01-30 00:06:42+00:00,3,5,,
798,discodzurnal,moj koronawirus po lekcji francuskiego ,2020-01-30 00:06:39+00:00,0,14,,
799,OnetWiadomosci,Koronawirus w Chinach. Bilans ofiar wzrósł do 169 http://dlvr.it/RP19Ym,2020-01-30 00:01:33+00:00,0,2,,
800,Kubalessini,Z tego co wiem od razu są izolowani. USA chyba przeprowadziły taką akcję. #武汉肺炎 #WuhanCoronavirus #China #coronaravirus #koronawirus #virus #Corona,2020-01-29 23:58:42+00:00,0,1,,#WuhanCoronavirus #China #coronaravirus #koronawirus #virus #Corona
801,Kubalessini,"#China National Health Commission Potwierdzone zarażenia 7,711 Zgony 170 Podejrzenia 12,167 81,000 osoby w obserwacji Dodatkowo potwierdzony przypadek w Tybecie #武汉肺炎 #WuhanCoronavirus #China #coronaravirus #koronawirus #virus #Corona",2020-01-29 23:56:39+00:00,0,1,,#China #WuhanCoronavirus #China #coronaravirus #koronawirus #virus #Corona
802,saturns_bae,Ten koronawirus jest tak niebezpieczny nie przez smiertelnosc tylko przez zarazliwosc. Smiertelny wirus by szybciej zabijal niz by sie rozmnazal. Za to zarazliwy wirus przy niskiej smiertelnosci moze zabic wiecej ludzi przez wieksza ilosc zarazen.,2020-01-29 23:55:43+00:00,0,0,,
803,swentol,POdobno? Poproszę o link. Bo Rosja ma napewno.Sami się chwalą. Podejrzewany koronawirus w Rosji. Naukowcy opracowali już szczepionkę. ,2020-01-29 23:53:16+00:00,1,2,,
804,RadioZET_NEWS,#Chiny: do 169 wzrosła liczba śmiertelnych ofiar #koronawirus.a z #Wuhan - podały władze prowincji #Hubei. Jest ponad 1 tys. nowych przypadków zakażenia. Poprzedni raport mówił o 132 zmarłych i ponad 6 tys. zakażonych.,2020-01-29 23:45:58+00:00,1,1,,#Chiny #koronawirus #Wuhan #Hubei
805,elgrace_grazyna,Koronawirus może zabić aż 65 mln ludzi. Eksperci przedstawili niepokojące prognozy https://www.o2.pl/artykul/koronawirus-moze-zabic-az-65-mln-ludzi-eksperci-przedstawili-niepokojace-prognozy-6471591786620545a,2020-01-29 23:44:23+00:00,0,0,,
806,malowaznygosc,"30.01.2020 7257 zarażonych, 169 zmarło #coronavirus #wuhan #koronawirus #CoronaOutbreak #realtime https://wuhanviruslive.com/",2020-01-29 23:44:23+00:00,0,0,,#coronavirus #wuhan #koronawirus #CoronaOutbreak #realtime
807,adam_kaluski,Koronawirus zaczął mutować...,2020-01-29 23:40:00+00:00,0,0,,
808,Stysio,"Czy tylko mnie ten #koronavirus przeraża jak cholera? Ja wiem, że nie można panikować i tak dalej, no, ale to i tak jest creepy 🤯 Ciekawy jestem czy to faktyczny wirus z przypadku, czy zagranie kogoś z góry? Co myślicie o tym?",2020-01-29 23:30:42+00:00,0,5,,#koronavirus
809,MagdalenaMaj5,"🔴 @MorawieckiM @AMAdamczyk @SzumowskiLukasz na co czekacie? Lufthansa (z Airlines i Austrian Airlines), British Airways i amerykańskie linie zawiesiły loty do Chin. LOT (10 lotów/tydz.) zwleka! Nas koronawirus się nie ima? Ważniejszy jest zysk? ",2020-01-29 23:28:46+00:00,1,6,@MorawieckiM @AMAdamczyk @SzumowskiLukasz,
810,deliriousti,"w ogóle ogarniacie ile rzeczy stało sie już w styczniu XDD koronawirus, plotki k 3 wojnie światowej i usa vs iran, największe pożary w Australii, ciekawe co jeszcze przeniesie ten rok, to dopiero styczeń",2020-01-29 23:27:41+00:00,0,3,,
811,JoannaTeglund,"GIS uspokajając, że nie grozi nam epidemia #coronavirus wprowadza nas w błąd, gdyż w obecnej chwili nie jest to wiadome. Mimo drakońskich środków zapobiegawczych w Chinach co drugi dzień podwaja się liczba zarażonych. #koronawirus ➡️https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html?fbclid=IwAR0QTYTkqA-N9UHhfwEBkEfGf9Q-IxmzuDobFseBmFikdvgsM4qqvg7CFUQ#/bda7594740fd40299423467b48e9ecf6",2020-01-29 23:13:37+00:00,7,14,,#coronavirus #koronawirus
812,shywhore_,nasz bohater 😌✊ #koronawirus #coronavirus,2020-01-29 23:12:33+00:00,0,0,,#koronawirus #coronavirus
813,adam_kaluski,SPOILER ALERT! Koronawirus zaczął mutować...,2020-01-29 23:11:08+00:00,0,2,,
814,ksiazkowykwiat,Dostałam do kosmetyków torebkę gratis. Z chin. #czasumierać #koronawirus 😂🙃,2020-01-29 23:07:12+00:00,0,2,,#czasumiera #koronawirus
815,MichaMiosz1,Tylko korona virus może powstrzymać Liverpool #kanałangielski,2020-01-29 23:04:37+00:00,0,0,,#kana
816,malowaznygosc,"30.01.2020 6165 zarażonych, 133 zmarło #coronavirus #wuhan #koronawirus #CoronaOutbreak https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6",2020-01-29 23:04:07+00:00,0,0,,#coronavirus #wuhan #koronawirus #CoronaOutbreak
817,jakslonce,Co poza komunikatami robi GIS? Wiele państw wstrzymało połączenia lotnicze z Chinami. Na co czeka polski rząd? Kto personalnie ponosi odpowiedzialność za brak kwarantanny dla podróżujących z Chin? #koronawirus #koronavirus #coronavirus #WuhanCoronovirus #WuhanPneumonia #2019nCoV,2020-01-29 23:04:00+00:00,2,0,,#koronawirus #koronavirus #coronavirus #WuhanCoronovirus #WuhanPneumonia #2019nCoV
818,zuzazarbuza,wątek 👇#koronawirus P. S. Potwierdzono przypadek w Finlandii. ,2020-01-29 23:02:33+00:00,1,1,,#koronawirus
819,Kubalessini,Liczba dziennych zgonów również rośnie. ( Dane tylko z prowincji HUBEI #武汉肺炎 #WuhanCoronavirus #China #coronaravirus #koronawirus #virus #Corona,2020-01-29 23:00:57+00:00,0,0,,#WuhanCoronavirus #China #coronaravirus #koronawirus #virus #Corona
820,GFratczak,Najpierw koronawirus teraz k-pop. Azja chce nas wszystkich zabić. #cośtamcośtamkpopparty,2020-01-29 22:54:45+00:00,0,2,,#co
821,szpak_michal,I just liked “Koronawirus do lekarzy” on #Vimeo: https://vimeo.com/388092627,2020-01-29 22:51:55+00:00,0,0,,#Vimeo
822,Kubalessini,Oby taki wzrost nie powtórzył się w innych prowincjach. #武汉肺炎 #WuhanCoronavirus #China #coronaravirus #koronawirus #virus #Corona,2020-01-29 22:51:14+00:00,1,2,,#WuhanCoronavirus #China #coronaravirus #koronawirus #virus #Corona
823,wkaszyca,"Nie mogę zasnąć bo się boję, że koronawirus dopadnie Jarosława, naszego zbawcę...",2020-01-29 22:50:21+00:00,0,0,,
824,Kubalessini,"Do 169, 162 przypadki są z samej prowincji Hubei #武汉肺炎 #WuhanCoronavirus #China #coronaravirus #koronawirus #virus #Corona",2020-01-29 22:49:09+00:00,0,1,,#WuhanCoronavirus #China #coronaravirus #koronawirus #virus #Corona
825,wkaszyca,A niech już przyjdzie ten koronawirus i wydusi te pisoskie plemię... Dobranoc,2020-01-29 22:48:39+00:00,0,0,,
826,laudanozyna,#koronawirus przygotowania w Polsce. Koło - Rejs M. Piwowski https://youtu.be/0p7CmGIsfks przez @YouTube,2020-01-29 22:47:53+00:00,0,0,@YouTube,
827,Jacpoludek,"#Huvei #Coronavirus #Koronawirus ilość zmarłych i tych, którzy wyzdrowieli w prowincji Hubei. ",2020-01-29 22:44:18+00:00,3,7,,#Huvei #Coronavirus #Koronawirus
828,juliaoktavia7,Zapewne jutro przyklepią PEHIC #koronawirus ,2020-01-29 22:40:29+00:00,0,0,,#koronawirus
829,BartekPiekarski,Naukowcy w końcu ustalili skąd wziął się Koronawirus w Chinach... 🤦‍♂️😂 pic.twitter.com/mFBVa8dZOT,2020-01-29 22:39:49+00:00,3,16,,
